iter	Passed	Remaining
0	2	2651
1	4	2464
2	6	2297
3	8	2024
4	9	1864
5	11	1847
6	13	1948
7	14	1855
8	16	1788
9	17	1737
10	19	1729
11	20	1712
12	23	1789
13	25	1784
14	29	1949
15	32	1996
16	33	1955
17	35	1930
18	37	1937
19	39	1942
20	41	1931
21	43	1927
22	45	1916
23	46	1886
24	47	1867
25	48	1835
26	50	1803
27	52	1814
28	54	1824
29	55	1802
30	57	1791
31	59	1812
32	62	1824
33	63	1809
34	64	1788
35	66	1773
36	69	1806
37	70	1796
38	72	1798
39	74	1780
40	75	1764
41	76	1750
42	78	1737
43	79	1723
44	80	1705
45	82	1713
46	83	1701
47	85	1697
48	87	1689
49	88	1672
50	89	1661
51	90	1646
52	91	1633
53	92	1620
54	93	1608
55	94	1597
56	97	1618
57	99	1613
58	100	1608
59	101	1594
60	102	1582
61	103	1571
62	104	1560
63	106	1551
64	107	1546
65	108	1540
66	110	1534
67	112	1543
68	114	1542
69	115	1534
70	116	1523
71	117	1514
72	118	1505
73	119	1498
74	120	1490
75	122	1483
76	123	1476
77	124	1469
78	126	1475
79	128	1473
80	129	1466
81	130	1460
82	131	1448
83	132	1441
84	133	1436
85	134	1432
86	136	1428
87	137	1424
88	138	1421
89	141	1431
90	143	1430
91	144	1426
92	145	1421
93	147	1417
94	148	1412
95	149	1406
96	150	1402
97	151	1397
98	153	1393
99	155	1398
100	157	1397
101	158	1393
102	159	1388
103	160	1384
104	161	1378
105	162	1374
106	164	1371
107	165	1367
108	166	1363
109	168	1359
110	170	1362
111	171	1362
112	173	1358
113	174	1355
114	175	1352
115	176	1348
116	177	1342
117	179	1341
118	180	1338
119	181	1334
120	183	1333
121	184	1330
122	186	1330
123	187	1326
124	189	1323
125	190	1319
126	191	1313
127	192	1309
128	193	1307
129	194	1303
130	196	1301
131	197	1300
132	199	1303
133	201	1300
134	202	1297
135	203	1293
136	204	1290
137	206	1287
138	207	1284
139	208	1281
140	209	1278
141	210	1272
142	211	1268
143	214	1272
144	216	1275
145	218	1276
146	219	1273
147	220	1269
148	221	1266
149	223	1263
150	224	1261
151	225	1258
152	227	1257
153	229	1258
154	230	1258
155	232	1255
156	233	1254
157	234	1251
158	236	1248
159	237	1245
160	237	1239
161	239	1236
162	240	1234
163	242	1234
164	244	1235
165	245	1232
166	246	1228
167	247	1225
168	248	1222
169	249	1219
170	250	1216
171	252	1214
172	253	1212
173	254	1210
174	257	1214
175	259	1212
176	260	1209
177	261	1207
178	262	1205
179	263	1202
180	265	1200
181	266	1198
182	267	1195
183	269	1196
184	271	1195
185	272	1194
186	274	1191
187	275	1189
188	276	1186
189	277	1183
190	278	1181
191	280	1178
192	281	1176
193	282	1174
194	284	1173
195	286	1173
196	287	1172
197	288	1169
198	289	1167
199	291	1164
200	292	1162
201	293	1160
202	295	1158
203	297	1161
204	299	1162
205	301	1162
206	302	1160
207	304	1157
208	305	1155
209	306	1152
210	307	1151
211	309	1151
212	311	1150
213	312	1149
214	314	1149
215	316	1149
216	317	1147
217	319	1144
218	320	1142
219	321	1139
220	322	1137
221	323	1135
222	324	1132
223	326	1129
224	327	1126
225	328	1126
226	330	1124
227	331	1122
228	332	1119
229	333	1116
230	334	1113
231	335	1111
232	336	1108
233	337	1105
234	338	1103
235	339	1100
236	341	1098
237	343	1099
238	345	1099
239	346	1097
240	347	1095
241	348	1093
242	350	1092
243	352	1090
244	353	1089
245	354	1087
246	356	1085
247	358	1086
